municipio;ranking_polo_municipal;ranking_polo_geral;local_votacao;endereco_local_votacao;latitude;longitude;bairro;distrito;status_geocodificacao;qtd_secoes;qtd_vereadores;votos_totais;vereador_principal;partido_vereador_principal;votos_vereador_principal;percentual_dominancia;indice_influencia_local;classificacao_local;potencial_agenda_davi
PENEDO;8;348;ESCOLA ESTADUAL DR. ALCIDES ANDRADE;ROD. ENGENHEIRO JOAQUIM GONÇALVES, S/N, PX. A GRANDE RIO VEÍCULOS;;;;;NAO_ENCONTRADO;6;26;728;ANTONIO DE FIGUEIREDO BARBOSA JUNIOR;PSB;66;9.07;17.6;PRIORIDADE NORMAL;MONITORAMENTO
SAO MIGUEL DOS CAMPOS;15;349;ESCOLA DE 1 GRAU TARCISIO SOARES PALMEIRA;TRAVESSA SENADOR MAXIMO, 104;;;;;NAO_ENCONTRADO;5;27;742;DINEY SOARES TORRES NETO;MDB;94;12.67;17.55;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;187;350;ESCOLA MÁRIO MAFRA;RUA SANTA FÉ, S/N;-9.6598031;-35.7497778;Ponta Grossa;;ENCONTRADO;3;39;477;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;80;16.77;17.54;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;188;351;ESC. MUN. SAGRADO CORAÇÃO DE JESUS;RUA DELMIRO GOUVEIA,S/N;-9.6430415;-35.7437536;Pinheiro;;ENCONTRADO;4;39;425;DAVID CABRAL DAVINO;PP;40;9.41;17.53;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;189;352;COLÉGIO ROSA MÍSTICA;CONJUNTO OSMAN LOUREIRO, RUA 15, N 133, QD C2;;;;;NAO_ENCONTRADO;3;37;536;GALBA NOVAIS DE CASTRO NETTO;PL;74;13.81;17.52;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;190;353;CEAGB - ESCOLA ESTADUAL JOSE DA SILVA CAMERINO;AV. FERNANDES LIMA, S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;4;40;386;TEREZA NELMA PORTO VIANA SOARES;PT;37;9.59;17.44;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;27;354;CRIA-CENTRO INFANTIL CORÁLIA GOMES DA SILVA;CJ JARBAS OITICICA, QD B2, N 45, MATA DO ROLO;;;;;NAO_ENCONTRADO;3;36;555;NADIELLE NAYARA DA COSTA LOPES;PP;140;25.23;17.41;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;191;355;ESC. EST. PROFª EROTILDES RODRIGUES SALDANHA (EX SEN PETRÔNIO PORTELA);RUA GOV. LAMENHA FILHO, S/N;;;;;NAO_ENCONTRADO;3;39;461;CLAUDIO MOREIRA DA SILVA;PL;98;21.26;17.39;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;192;356;COLÉGIO SANTA MADALENA SOFIA;AV TOMÁS ESPÍNDOLA, 402;-9.6507175;-35.7332135;Farol;;ENCONTRADO;3;41;389;LEONARDO DA FONSECA DIAS;PL;67;17.22;17.28;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;17;357;ESCOLA SESI - PROF. WILTON GAMA;RUA TENENTE JOSÉ TOMÉ SN;-9.7191988;-35.8942787;Centro;;ENCONTRADO;5;29;652;THIAGO HENRIQUE GONDIN TORRES;PDT;83;12.73;17.27;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;193;358;ESC. EST. PROF. CARLOS POVINA CAVALCANTE;RUA SANTA LUZIA, S/N;-9.5529152;-35.7898724;Santos Dumont;;ENCONTRADO;3;30;713;GALBA NOVAIS DE CASTRO NETTO;PL;271;38.01;17.17;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;194;359;ESCOLA EST. PROF. LIBERALINO BONFIM DE OLIVEIRA;RUA DO CRAVO, S/N;-9.5960352;-35.7409551;Jardim Petrópolis;;ENCONTRADO;4;31;624;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;164;26.28;17.1;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;195;360;ESC. MUN. PROFª NEIDE DE FREITAS FRANÇA;CONJ. OTACILIO HOLANDA, S/N;;;;;NAO_ENCONTRADO;4;32;586;KELMANN VIEIRA DE OLIVEIRA;MDB;220;37.54;17.02;PRIORIDADE NORMAL;MONITORAMENTO
SAO MIGUEL DOS CAMPOS;16;361;ESCOLA ESTADUAL PROFESSORA EDILEUZA OLIVEIRA DA SILVA;RUA PROJETADA, S/N;;;;;NAO_ENCONTRADO;5;27;680;JOSEPH ROBERT SANTOS MARTINIANO;MDB;69;10.15;16.95;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;196;362;COLÉGIO OURO PRETO;RUA PADRE CÍCERO, 3431;-9.5616951;-35.739975;Antares;;ENCONTRADO;3;36;502;MILTON LUNA BARROS NETO;PSB;95;18.92;16.9;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;197;363;COLÉGIO SÃO JUDAS TADEU;RUA ADOLFO GUSTAVO, 435;-9.6100399;-35.7226653;Serraria;;ENCONTRADO;3;39;408;TEREZA NELMA PORTO VIANA SOARES;PT;45;11.03;16.87;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;198;364;ESCOLA HIGINO BELO;AV SANTA RITA DE CÁSSIA;-9.6528931;-35.7321872;Farol;;ENCONTRADO;4;39;351;LEONARDO DA FONSECA DIAS;PL;39;11.11;16.81;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;199;365;ESCOLA DE ENSINO FUNDAMENTAL DR. JOSÉ CARNEIRO;RUA BERNARDO LOPES S/N;-9.627896;-35.7388809;Pinheiro;;ENCONTRADO;4;37;411;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;35;8.52;16.8;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;200;366;ESCOLA PROFº MANOEL COELHO NETO;RUA MANOEL FLORENTINO DA SILVA 190;-9.6256661;-35.7414131;Pinheiro;;ENCONTRADO;4;36;439;JONATAS JOSE OLIVEIRA DE OMENA;PL;58;13.21;16.78;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;13;367;ESCOLA ESTADUAL MANOEL PASSOS LIMA;RUA GERVÁSIO MOREIRA, S/N;;;;;NAO_ENCONTRADO;4;29;646;PEDRO RODRIGUES GAIA BISNETO;MDB;64;9.91;16.72;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;9;368;ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA;RUA JOÃO RAMALHO, SN;-10.2733024;-36.5601197;Dom Constatino;;ENCONTRADO;6;25;664;ANTONIO DE FIGUEIREDO BARBOSA JUNIOR;PSB;59;8.89;16.69;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;201;369;ESCOLA ESTADUAL DEPUTADO GUILHERMINO DE OLIVEIRA;RUA ABELARDO PONTES LIMA, S/N;-9.650579;-35.760479;Vergel do Lago;;ENCONTRADO;3;37;433;BRIVALDO MARQUES SILVA NETO;PL;56;12.93;16.53;PRIORIDADE NORMAL;MONITORAMENTO
RIO LARGO;28;370;GRUPO ESCOLAR DERALDO CAMPOS;AVENIDA VAZ DE CASTRO S/N;-9.4855066;-35.8566295;Vila São Lourenço;;ENCONTRADO;3;39;366;MÁRCIO SOARES CAVALCANTE;PP;40;10.93;16.47;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;202;371;E.M. JORGE DE LIMA;AV BELMIRO AMORIM, 1750;-9.5833087;-35.763066;Santa Lúcia;;ENCONTRADO;2;40;383;FRANCISCO HOLANDA COSTA FILHO;PL;61;15.93;16.44;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;203;372;COLÉGIO DOM BOSCO (ANTIGO COLÉGIO CARVALHO);RUA EURICO AYRES N. 131;;;;;NAO_ENCONTRADO;3;36;452;GALBA NOVAIS DE CASTRO NETTO;PL;53;11.73;16.42;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;204;373;ESCOLA PATINHO FEIO;RUA PREFEITO ABDON ARROXELAS, N.760;-9.6558176;-35.7037682;Ponta Verde;;ENCONTRADO;3;38;357;LEONARDO DA FONSECA DIAS;PL;59;16.53;16.09;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;205;374;ESCOLA EST. PROF. LUÍS CARLOS;RUA CORONEL ADAUTO GOMES BARBOSA, S/N;-9.6563568;-35.7147908;Jatiúca;;ENCONTRADO;2;38;387;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;88;22.74;15.89;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;206;375;ESCOLA EST. DOM ADELMO MACHADO;RUA DOM ADELMO MACHADO, S/N;;;;;NAO_ENCONTRADO;3;34;451;SILVANIA BATINGA DE OLIVEIRA BARBOSA;SOLIDARIEDADE;61;13.53;15.82;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;207;376;ESCOLA MUNICIPAL JOÃO FEITOSA;RUA SÃO LUIZ, RESIDENCIAL  VALE DO TOCANTINS;;;;;NAO_ENCONTRADO;2;34;496;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;130;26.21;15.77;PRIORIDADE NORMAL;MONITORAMENTO
UNIAO DOS PALMARES;16;377;ESCOLA MUNICIPAL MARIA LEAL FEITOSA;RUA EDGAR SARMENTO, S/N;-9.1631868;-36.0315847;União dos Palmares;;ENCONTRADO;3;34;445;GIVANILDO GOMES DA SILVA;MDB;38;8.54;15.76;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;10;378;IFAL - CAMPUS PENEDO;ROD ENGENHEIRO JOAQUIM GONÇALVES, S/N LOT SÃO JOSÉ;;;;;NAO_ENCONTRADO;5;22;700;DERIVAN THOMAZ;PV;74;10.57;15.67;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;18;379;ESCOLA PROFESSORA ELEUZA GALVÃO RODAS;RUA ARTHUR PAIVA REGO SN;;;;;NAO_ENCONTRADO;4;28;542;AUGUSTO JORGE GRANJEIRO COSTA CARNAÚBA;MDB;69;12.73;15.42;PRIORIDADE NORMAL;MONITORAMENTO
CORURIPE;14;380;ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT;POVOADO MIAI DE BAIXO, S/N;;;;;NAO_ENCONTRADO;4;24;660;RODIO ENÉAS GUIMARÃES GAMA;PP;262;39.7;15.38;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;9;381;ELIZEU NORBERTO, GRUPO ESCOLAR;RUA MANOEL RIBEIRO, SN;-9.3769332;-37.9959555;Eldorado;;ENCONTRADO;6;18;736;MARCIO FERNANDO FREITAS DA SILVA;PP;184;25.0;15.33;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;208;382;ESC. MUN. NOSSA SRª APARECIDA (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA);RUA PROFESSORA MARIA JOSÉ LOUREIRO, S/N;;;;;NAO_ENCONTRADO;3;35;364;MILTON LUNA BARROS NETO;PSB;41;11.26;15.27;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;209;383;ESCOLA DE ENS. FUND. HERMÍNIO CARDOSO;RUA BARÃO DE JARAGUA, S/N;-9.5900792;-35.786937;Fernão Velho;;ENCONTRADO;3;26;607;MILTON LUNA BARROS NETO;PSB;162;26.69;14.97;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;210;384;ESCOLA DE CEGOS CYRO ACCIOLY;RUA DR. PEDRO MONTEIRO, S/N;-9.6678324;-35.7386069;Centro;;ENCONTRADO;4;35;278;LEONARDO DA FONSECA DIAS;PL;22;7.91;14.93;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;211;385;E.E. OTACÍLIO HOLANDA DE ANDRADE;RUA SAO LUIZ, 09;-9.5706973;-35.7912674;Clima Bom;;ENCONTRADO;2;36;343;MARCELO PALMEIRA CAVALCANTE;PL;25;7.29;14.88;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;212;386;SEADES - SEC. DE EST. DA ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL;RUA COMENDADOR CALACA 1339;;;;;NAO_ENCONTRADO;3;36;286;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;43;15.03;14.81;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;213;387;CEAGB - ESCOLA ESTADUAL TEOTÔNIO VILELA;AV. FERNANDES LIMA S/N;-9.6219993;-35.7387664;Gruta de Lourdes;;ENCONTRADO;3;35;313;TEREZA NELMA PORTO VIANA SOARES;PT;24;7.67;14.78;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;214;388;ESCOLA MUN. PROFª MARIA NILDA;RUA SANTA CLARA, S/N;-9.6154249;-35.7497845;Chã da Jaqueira;;ENCONTRADO;4;31;383;FRANCISCO HOLANDA COSTA FILHO;PL;60;15.67;14.77;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;215;389;ESCOLA ESTADUAL MAJOR EDUARDO EMILIANO DA FONSECA;RUA DR LUIS DE BARROS, S/N;;;;;NAO_ENCONTRADO;3;34;339;JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR;MDB;64;18.88;14.74;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;11;390;EMEB IRMÃ JOLENTA (ANTIGO FREITAS);RUA SANTO ANTÔNIO, SN;-10.2826113;-36.5840511;Penedo;;ENCONTRADO;4;28;461;VALDY VASCONCELOS;PSB;64;13.88;14.64;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;10;391;ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA);POVOADO LAGOINHAS S/N;;;;;NAO_ENCONTRADO;5;16;773;RENATO DAVID TORRES DE OLIVEIRA;PT;150;19.4;14.61;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;12;392;GRUPO ESCOLAR ESTADUAL GABINO BESOURO;AVENIDA NILO PECANHA, 182, PRÓXIMO AO TIRO DE GUERRA;;;;;NAO_ENCONTRADO;4;25;544;ANTONIO DE FIGUEIREDO BARBOSA JUNIOR;PSB;59;10.85;14.56;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;13;393;FACULDADE RAIMUNDO MARINHO DE PENEDO;RUA 15 DE NOVEMBRO, FRM;;;;;NAO_ENCONTRADO;5;22;579;IVO CARLOS MOURA COSTA;PV;72;12.44;14.5;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;14;394;CENTRO DE ESTUDOS SUPLETIVO REMI MAIA;RUA FRANCISCO MOURA SN;-9.4151556;-36.6263931;São Luiz;;ENCONTRADO;4;27;460;GILENO COSTA SAMPAIO FILHO;PRD;48;10.43;14.34;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;15;395;ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA;PRAÇA ANTONIO LEITE, S/N, CANAFÍSTULA;-9.3991794;-36.7123167;Canafístula;;ENCONTRADO;4;23;576;ANTONIO GARROTE DA SILVA FILHO;PP;288;50.0;14.28;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;216;396;CMEI SÔNIA CAVALCANTI;RUA GENERAL HERMES, S/N, BOM PARTO (VIZ. À SEMED);;;;;NAO_ENCONTRADO;4;32;295;MARCELO PALMEIRA CAVALCANTE;PL;30;10.17;14.21;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;19;397;ESCOLA MUNICIPAL PREFEITO EDIVAL LEMOS SANTOS;AV. SAO JOSE POEIRA SN;;;;;NAO_ENCONTRADO;4;24;536;EZECHIAS JOSÉ DO NASCIMENTO;PSB;90;16.79;14.19;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;11;398;DELMIRO GOUVEIA, ESCOLA;AV. PRESIDENTE CASTELO BRANCO, S/N;-9.3831723;-37.9994571;Eldorado;;ENCONTRADO;5;19;614;EDNA GOMES BERNARDO;MDB;98;15.96;13.96;PRIORIDADE NORMAL;MONITORAMENTO
ARAPIRACA;51;399;ESCOLA JOSÉ URSULINO MALAQUIAS;RUA PAINEIRA;-9.742687;-36.6910367;Zélia Barbosa Rocha;;ENCONTRADO;1;39;203;SERGIO FABIO NUNES;PP;37;18.23;13.92;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;12;400;NOEMIA BANDEIRA DA SILVA,ESCOLA;RUA DO CHAFARIZ, SN;;;;;NAO_ENCONTRADO;6;17;619;EDNA GOMES BERNARDO;MDB;108;17.45;13.91;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;217;401;ESCOLA PROFª MALBA LINS COSTA;TRAVESSA BOA ESPERANÇA S/N;-9.6227867;-35.7237253;Barro Duro;;ENCONTRADO;3;33;278;ALDO ROBERTO DA ROCHA LOUREIRO;PDT;41;14.75;13.85;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;218;402;COLÉGIO SÃO JORGE;RUA ALEXANDRE PASSOS, 359;-9.6704776;-35.720836;Jaraguá;;ENCONTRADO;2;36;235;KELMANN VIEIRA DE OLIVEIRA;MDB;25;10.64;13.83;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;219;403;ESCOLA ESTADUAL PROFESSOR JOSÉ VITORINO DA ROCHA PINHEIRO;RUA ANTÔNIO PROCÓPIO, 165;-9.6307555;-35.7389083;Pinheiro;;ENCONTRADO;2;37;201;TEREZA NELMA PORTO VIANA SOARES;PT;16;7.96;13.8;PRIORIDADE NORMAL;MONITORAMENTO
ARAPIRACA;52;404;ESCOLA ROTARY;RUA TEODORICO COSTA;-9.7547641;-36.6637919;Centro;;ENCONTRADO;1;41;129;ROGERIO PEREIRA MELO;MDB;12;9.3;13.79;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;220;405;COLÉGIO SÃO JERÔNIMO;RUA JACI MELO, S/N, C6JX, 7R, JARDIM DA SAÚDE;;;;;NAO_ENCONTRADO;2;32;338;FRANCISCO HOLANDA COSTA FILHO;PL;44;13.02;13.65;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;221;406;CRECHE AGENOR FERNANDES PONTES;VILA GOIABEIRA, 132;;;;;NAO_ENCONTRADO;2;22;642;MILTON LUNA BARROS NETO;PSB;179;27.88;13.65;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;222;407;CMEI MARECHAL JOÃO MASCARENHAS DE MORAES;RUA CÔNEGO VALENTE, S/N;-9.6417029;-35.7306236;Pitanguinha;;ENCONTRADO;2;37;179;CLAUDIO MOREIRA DA SILVA;PL;35;19.55;13.59;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;16;408;ESCOLA MUNICIPAL PROFESSORA ROSINHA PIMENTEL;AVENIDA CONSELHEIRO SEBASTIÃO LIMA, S/N;-9.4120512;-36.6274423;São Luiz;;ENCONTRADO;4;27;377;PEDRO RODRIGUES GAIA BISNETO;MDB;40;10.61;13.53;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;13;409;JOSE CORREIA FILHO,ESCOLA;POVOADO JARDIM CORDEIRO;;;;;NAO_ENCONTRADO;4;12;794;REGINALDO RODRIGUES SOARES;MDB;574;72.29;13.15;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;14;410;ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR DOUGLAS APRATTO TENÓRIO;RUA BRASÍLIA, S/N;-10.2825199;-36.5809629;Penedo;;ENCONTRADO;5;21;464;IVO CARLOS MOURA COSTA;PV;79;17.03;13.1;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;223;411;ESCOLA ESTADUAL SANTA TEREZA DÁVILA;RUA PÃO DE AÇÚCAR, 120;-9.6356714;-35.6981506;Cruz das Almas;;ENCONTRADO;2;32;275;MILTON LUNA BARROS NETO;PSB;61;22.18;13.04;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;224;412;ESCOLA S E S I;RUA GENERAL HERMES, 485;-9.656623;-35.739444;Bom Parto;;ENCONTRADO;2;35;182;SILVIO SAMPAIO CAMELO;PV;15;8.24;13.03;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;20;413;ESCOLA MUNICIPAL ADELINA DE CARVALHO MELO;RUA ADELINA DE CARVALHO MELO SN;;;;;NAO_ENCONTRADO;3;21;557;HILDEBRANDO TENÓRIO DE ALBUQUERQUE NETO;PP;175;31.42;13.02;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;15;414;ESCOLA ESTADUAL HERMÍLIO DE FREITAS MELRO;AVENIDA WANDERLEY, 396, EM FRENTE AO SEMEP;;;;;NAO_ENCONTRADO;3;26;384;ANTONIO DE FIGUEIREDO BARBOSA JUNIOR;PSB;37;9.64;12.82;PRIORIDADE NORMAL;MONITORAMENTO
UNIAO DOS PALMARES;17;415;ESCOLA MUNICIPAL LUIZA DE FRANCA;RUA ALTO DO CRUZEIRO, S/N;-9.1614292;-36.0275299;União dos Palmares;;ENCONTRADO;3;28;316;GIVANILDO GOMES DA SILVA;MDB;31;9.81;12.75;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;16;416;EMEB HANNA BERTHOLET;POVOADO SANTA MARGARIDA;;;;;NAO_ENCONTRADO;5;15;592;ANTONIO LIRA DA SILVA NETO;PDT;399;67.4;12.57;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;225;417;ESCOLA MUNICIPAL PROFª ZILKA DE OLIVEIRA GRAÇA (ANTIGO ERALDO GOMES);RUA FIRMO CORREIA DE ARAUJO, 276;-9.567628;-35.7917482;Clima Bom;;ENCONTRADO;2;31;246;GALBA NOVAIS DE CASTRO NETTO;PL;32;13.01;12.47;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;226;418;ESCOLA DE EDUCAÇÃO BÁSICA JOSÉ GONZAGA;RUA 7 DE SETEMBRO, N 344;-9.5795995;-35.772732;Tabuleiros dos Martins;;ENCONTRADO;1;34;199;GALBA NOVAIS DE CASTRO NETTO;PL;31;15.58;12.41;PRIORIDADE NORMAL;MONITORAMENTO
MACEIO;227;419;CMEI PROFESSORA KYRA MARIA BARROS PAES;AV. MUNIZ FALCÃO, S/N;-9.61561;-35.7188851;Barro Duro;;ENCONTRADO;1;32;253;THALES LUIZ PEIXOTO CAVALCANTE;PSB;36;14.23;12.34;PRIORIDADE NORMAL;MONITORAMENTO
UNIAO DOS PALMARES;18;420;ESCOLA MUNICIPAL LAURA PEREIRA DA SILVA;RUA CUPERTINO DOS PRAZERES, S/N;;;;;NAO_ENCONTRADO;3;29;241;GIVANILDO GOMES DA SILVA;MDB;26;10.79;12.32;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;14;421;ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS;RUA PROJETADA, S/N. DISTRITO DE BARRAGEM LESTE;;;;;NAO_ENCONTRADO;7;13;513;REGINALDO RODRIGUES SOARES;MDB;125;24.37;12.19;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;17;422;ESCOLA ESTADUAL DIJANIRA SANTOS SILVA;POVOADO SANTO ANTÔNIO;;;;;NAO_ENCONTRADO;3;22;391;FABIANO GOMES DE SOUZA;REPUBLICANOS;85;21.74;11.71;PRIORIDADE NORMAL;MONITORAMENTO
MARECHAL DEODORO;21;423;UBS - MARIA DO CARMO ARAÚJO SOARES;RUA ADELINA DE CARVALHO MELO, S/N;;;;;NAO_ENCONTRADO;3;19;451;HILDEBRANDO TENÓRIO DE ALBUQUERQUE NETO;PP;138;30.6;11.41;PRIORIDADE NORMAL;MONITORAMENTO
PENEDO;17;424;UNIDADE DE ENSINO DE PENEDO/UFAL;AVENIDA BEIRA RIO, S/N, UFAL, PX. À DELEGACIA DE POLÍCIA;;;;;NAO_ENCONTRADO;3;25;241;DENYS MALTA REIS;PV;28;11.62;11.14;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;18;425;ESCOLA MUNICIPAL PEDRO RODRIGUES GAIA;POVOADO CORURIPE DA CAL;;;;;NAO_ENCONTRADO;2;19;435;SIDINY TARGINO DA SILVA;PT;250;57.47;10.77;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;15;426;ESCOLA DE EDUCAÇÃO BÁSICA BEABÁ;RUA FREITAS CAVALCANTE, 192;-9.3710699;-38.1897024;Delmiro Gouveia;;ENCONTRADO;4;15;451;EDNA GOMES BERNARDO;MDB;96;21.29;10.72;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;16;427;ERENICE GOMES DE LIMA, ESCOLA ESTADUAL PROFª;RUA MARTINHA CARDEAL  S/N;;;;;NAO_ENCONTRADO;4;16;404;GEORGE LISBOA JUNIOR;MDB;63;15.59;10.56;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;17;428;MANOEL MOURA, COLEGIO DE 1 GRAU;POVOADO BARRAGEM;;;;;NAO_ENCONTRADO;5;11;501;REGINALDO RODRIGUES SOARES;MDB;140;27.94;10.51;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;18;429;JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR;POVOADO SINIMBU;;;;;NAO_ENCONTRADO;4;16;366;JOSE IVAM DE ARAUJO JUNIOR;PT;103;28.14;10.19;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;19;430;SAO JOSE, ESCOLA MUN DE ENSINO FUNDAMENTAL;POVOADO SALGADO;;;;;NAO_ENCONTRADO;2;15;451;FABIOLA MARQUES DE LIMA;MDB;110;24.39;9.74;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;19;431;UNIVERSISADE ESTADUAL DE ALAGOAS - UNEAL - PALMERIA DOS ÍNDIOS;RODOVIA EDUARDO ALVES DA SILVA, KM 03;;;;;NAO_ENCONTRADO;1;26;166;GILENO COSTA SAMPAIO FILHO;PRD;19;11.45;9.74;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;20;432;RUI BARBOSA,ESCOLA MUNICIPAL;POVOADO SAO SEBASTIAO;;;;;NAO_ENCONTRADO;3;14;382;EDNA GOMES BERNARDO;MDB;69;18.06;9.27;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;21;433;RAIMYSON SILVA NASCIMENTO, EMEF;POVOADO CARAIBEIRINHAS;;;;;NAO_ENCONTRADO;2;16;341;RENATO DAVID TORRES DE OLIVEIRA;PT;54;15.84;8.97;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;22;434;GRUPO ESCOLAR CASTRO ALVES;POVOADO BARRAGEM;;;;;NAO_ENCONTRADO;4;11;388;REGINALDO RODRIGUES SOARES;MDB;103;26.55;8.93;PRIORIDADE NORMAL;MONITORAMENTO
PALMEIRA DOS INDIOS;20;435;ESCOLA MUNICIPAL NOÉ SIMPLÍCIO;POVOADO BONIFÁCIO;;;;;NAO_ENCONTRADO;3;16;277;ANTONIO GARROTE DA SILVA FILHO;PP;72;25.99;8.84;PRIORIDADE NORMAL;MONITORAMENTO
DELMIRO GOUVEIA;23;436;ANEXO DO CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL CASINHA FELIZ;RUA MÁRIO PEREIRA, S/N;-9.3788871;-38.0018608;Eldorado;;ENCONTRADO;3;17;231;EDNA GOMES BERNARDO;MDB;38;16.45;8.69;PRIORIDADE NORMAL;MONITORAMENTO
