_municipio_norm,_local_norm,municipio,local_votacao,qtd_registros_afetados
RIO LARGO,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,RIO LARGO,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,161
MACEIO,ESCOLA MUNICIPAL GASTONE LUCIA DE CARVALHO BELTRAO,MACEIO,E.M. GASTONE LÚCIA DE CARVALHO BELTRÃO,159
MACEIO,COLEGIO BRASIL ANTIGO ISAAC NEWTON,MACEIO,COLÉGIO BRASIL (ANTIGO ISAAC NEWTON),159
MACEIO,EDIFICIO DO SENAC,MACEIO,EDIFÍCIO DO SENAC,158
SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO,SAO MIGUEL DOS CAMPOS,ESCOLA MUNICIPAL DIONISIA APRATTO TENORIO,156
RIO LARGO,GRUPO ESCOLAR DALMARIO DE SOUZA,RIO LARGO,GRUPO ESCOLAR DALMARIO DE SOUZA,156
SAO MIGUEL DOS CAMPOS,ESCOLA DE EDUCACAO BASICA CONSTRUTIVISTA,SAO MIGUEL DOS CAMPOS,ESCOLA DE EDUCAÇÃO BÁSICA CONSTRUTIVISTA,155
ARAPIRACA,CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS ANTIGO MADRE PAULINA,ARAPIRACA,CENTRO DE EDUCAÇÃO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA),154
MARECHAL DEODORO,ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS,MARECHAL DEODORO,ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS,153
MACEIO,ESCOLA ESTADUAL MANOEL DE ARAUJO DORIA,MACEIO,E.E. MANOEL DE ARAUJO DORIA,152
MACEIO,ESCOLA MUNICIPAL SELMA BANDEIRA,MACEIO,E.M. SELMA BANDEIRA,151
MACEIO,ESCOLA MUNICIPAL PIO X PREDIO DO ANTIGO COLEGIOSAGRADA FAMILIA,MACEIO,ESC. MUN. PIO X (PRÉDIO DO ANTIGO COL.SAGRADA FAMÍLIA),150
MARECHAL DEODORO,ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA,MARECHAL DEODORO,ESCOLA MUNICIPAL MARIA PETRONILA DE GOUVEA,149
MACEIO,ESCOLA SANTA ROSA,MACEIO,ESCOLA SANTA ROSA,148
MARECHAL DEODORO,ESCOLA ESTADUAL DEODORO DA FONSECA,MARECHAL DEODORO,ESCOLA ESTADUAL DEODORO DA FONSECA,147
RIO LARGO,GRUPO ESCOLAR OZORIA MOURA DE LIMA,RIO LARGO,GRUPO ESCOLAR OZORIA MOURA DE LIMA,147
SAO MIGUEL DOS CAMPOS,CRECHE JOSEFA BENEDITA DOS SANTOS,SAO MIGUEL DOS CAMPOS,CRECHE JOSEFA BENEDITA DOS SANTOS,141
MACEIO,CLUBE DA CAIXA ECONOMICA FEDERAL APCEF AL,MACEIO,CLUBE DA CAIXA ECONÔMICA FEDERAL (APCEF/AL),141
RIO LARGO,ESCOLA ESTADUAL JOAO MORAIS CAVALCANTE,RIO LARGO,ESCOLA ESTADUAL JOÃO MORAIS CAVALCANTE,141
SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL ESTHER SOARES TORRES,SAO MIGUEL DOS CAMPOS,COLÉGIO MUNICIPAL ESTHER SOARES TORRES,139
SAO MIGUEL DOS CAMPOS,ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS,SAO MIGUEL DOS CAMPOS,ESCOLA DE ENSINO SUPERIOR DE SAO MIGUEL DOS CAMPOS,135
